金融機構名稱,當月發卡數
臺灣銀行,1131
臺灣土地銀行,3457
合作金庫商業銀行,5894
第一商業銀行,13824
華南商業銀行,13997
彰化商業銀行,3724
上海商業儲蓄銀行,1356
台北富邦商業銀行,29236
國泰世華商業銀行,245426
高雄銀行,209
兆豐國際商業銀行,8679
花旗(台灣)商業銀行,16852
澳盛(台灣)商業銀行,4805
臺灣中小企業銀行,923
渣打國際商業銀行,1373
台中商業銀行,2271
匯豐(台灣)商業銀行,5959
華泰商業銀行,12
臺灣新光商業銀行,9239
陽信商業銀行,2045
三信商業銀行,166
聯邦商業銀行,187202
遠東國際商業銀行,11188
元大商業銀行,15757
永豐商業銀行,17251
玉山商業銀行,44584
凱基商業銀行,8020
星展(台灣)商業銀行,45
台新國際商業銀行,35657
大眾商業銀行,7914
日盛國際商業銀行,425
安泰商業銀行,850
中國信託商業銀行,45644
台灣樂天信用卡(股)公司,12745
台灣美國運通國際(股)公司,3943
台灣永旺信用卡(股)公司,138
