金融機構名稱,當月發卡數
臺灣銀行,2025
臺灣土地銀行,3176
合作金庫商業銀行,6108
第一商業銀行,8706
華南商業銀行,36195
彰化商業銀行,2634
上海商業儲蓄銀行,1516
台北富邦商業銀行,25367
國泰世華商業銀行,113671
高雄銀行,127
兆豐國際商業銀行,7154
花旗(台灣)商業銀行,16731
澳盛(台灣)商業銀行,4701
臺灣中小企業銀行,640
渣打國際商業銀行,1315
台中商業銀行,3463
匯豐(台灣)商業銀行,5366
華泰商業銀行,13
臺灣新光商業銀行,8485
陽信商業銀行,1250
三信商業銀行,111
聯邦商業銀行,38169
遠東國際商業銀行,294792
元大商業銀行,10583
永豐商業銀行,14115
玉山商業銀行,44049
凱基商業銀行,12296
星展(台灣)商業銀行,14
台新國際商業銀行,42047
大眾商業銀行,8732
日盛國際商業銀行,439
安泰商業銀行,761
中國信託商業銀行,55229
台灣樂天信用卡股份有限公司,11237
台灣美國運通國際(股)公司,3045
台灣永旺信用卡(股)公司,97
