金融機構名稱,當月發卡數
臺灣銀行,1069
臺灣土地銀行,10216
合作金庫商業銀行,6109
第一商業銀行,14618
華南商業銀行,15944
彰化商業銀行,7227
上海商業儲蓄銀行,1430
台北富邦商業銀行,96557
國泰世華商業銀行,61177
高雄銀行,53
兆豐國際商業銀行,11200
花旗(台灣)商業銀行,19298
澳盛(台灣)商業銀行,6173
臺灣中小企業銀行,1339
渣打國際商業銀行,2279
台中商業銀行,2812
匯豐(台灣)商業銀行,8448
華泰商業銀行,20
臺灣新光商業銀行,6639
陽信商業銀行,926
三信商業銀行,241
聯邦商業銀行,26818
遠東國際商業銀行,10752
元大商業銀行,10753
永豐商業銀行,20670
玉山商業銀行,39004
凱基商業銀行,4485
星展(台灣)商業銀行,67
台新國際商業銀行,28031
大眾商業銀行,9580
日盛國際商業銀行,577
安泰商業銀行,1114
中國信託商業銀行,38912
台灣樂天信用卡股份有限公司,5910
台灣美國運通國際(股)公司,3562
台灣永旺信用卡(股)公司,188
