金融機構名稱,當月發卡數
臺灣銀行,6035
臺灣土地銀行,4197
合作金庫商業銀行,7299
第一商業銀行,12413
華南商業銀行,23884
彰化商業銀行,5331
上海商業儲蓄銀行,5571
台北富邦商業銀行,29896
國泰世華商業銀行,75877
高雄銀行,62
兆豐國際商業銀行,5856
花旗(台灣)商業銀行,22321
澳盛(台灣)商業銀行,6142
臺灣中小企業銀行,751
渣打國際商業銀行,1664
台中商業銀行,2403
滙豐(台灣)商業銀行,8317
華泰商業銀行,88
臺灣新光商業銀行,15755
陽信商業銀行,2822
三信商業銀行,219
聯邦商業銀行,29743
遠東國際商業銀行,16553
元大商業銀行,20381
永豐商業銀行,15901
玉山商業銀行,57240
凱基商業銀行,12145
星展(台灣)商業銀行,25
台新國際商業銀行,58663
大眾商業銀行,8133
日盛國際商業銀行,533
安泰商業銀行,908
中國信託商業銀行,77604
台灣樂天信用卡股份有限公司,19666
台灣美國運通國際(股)公司,3954
台灣永旺信用卡(股)公司,77
