金融機構名稱,當月發卡數
臺灣銀行,768
臺灣土地銀行,877
合作金庫商業銀行,3465
第一商業銀行,17151
華南商業銀行,15778
彰化商業銀行,7999
上海商業儲蓄銀行,1464
台北富邦商業銀行,23781
國泰世華商業銀行,77705
高雄銀行,42
兆豐國際商業銀行,10074
花旗(台灣)商業銀行,19947
澳盛(台灣)商業銀行,6089
臺灣中小企業銀行,1557
渣打國際商業銀行,6690
台中商業銀行,2100
匯豐(台灣)商業銀行,9832
華泰商業銀行,13
臺灣新光商業銀行,12008
陽信商業銀行,1546
三信商業銀行,304
聯邦商業銀行,15158
遠東國際商業銀行,14178
元大商業銀行,10855
永豐商業銀行,23367
玉山商業銀行,43246
凱基商業銀行,5736
星展(台灣)商業銀行,91
台新國際商業銀行,45084
大眾商業銀行,10509
日盛國際商業銀行,639
安泰商業銀行,1386
中國信託商業銀行,55567
台灣樂天信用卡股份有限公司,3192
台灣美國運通國際(股)公司,3384
台灣永旺信用卡(股)公司,347
