金融機構名稱,當月發卡數
臺灣銀行,956
臺灣土地銀行,9589
合作金庫商業銀行,5437
第一商業銀行,9276
華南商業銀行,14191
彰化商業銀行,3603
上海商業儲蓄銀行,1039
台北富邦商業銀行,27509
國泰世華商業銀行,141186
高雄銀行,171
兆豐國際商業銀行,6880
花旗(台灣)商業銀行,15023
澳盛(台灣)商業銀行,4600
臺灣中小企業銀行,649
渣打國際商業銀行,1938
台中商業銀行,1727
匯豐(台灣)商業銀行,5435
華泰商業銀行,10
臺灣新光商業銀行,7474
陽信商業銀行,1875
三信商業銀行,139
聯邦商業銀行,17772
遠東國際商業銀行,10109
元大商業銀行,12155
永豐商業銀行,53893
玉山商業銀行,40121
凱基商業銀行,3875
星展(台灣)商業銀行,47
台新國際商業銀行,31512
大眾商業銀行,8419
日盛國際商業銀行,388
安泰商業銀行,764
中國信託商業銀行,41319
台灣樂天信用卡(股)公司,10056
台灣美國運通國際(股)公司,3798
台灣永旺信用卡(股)公司,192
