金融機構名稱,當月發卡數
臺灣銀行,707
臺灣土地銀行,913
合作金庫商業銀行,4120
第一商業銀行,13193
華南商業銀行,14462
彰化商業銀行,6783
上海商業儲蓄銀行,1265
台北富邦商業銀行,20966
國泰世華商業銀行,61101
高雄銀行,43
兆豐國際商業銀行,9458
花旗(台灣)商業銀行,17161
澳盛(台灣)商業銀行,6661
臺灣中小企業銀行,1283
渣打國際商業銀行,2329
台中商業銀行,2297
匯豐(台灣)商業銀行,8548
華泰商業銀行,18
臺灣新光商業銀行,8248
陽信商業銀行,987
三信商業銀行,223
聯邦商業銀行,16399
遠東國際商業銀行,11217
元大商業銀行,15083
永豐商業銀行,20348
玉山商業銀行,38636
凱基商業銀行,4158
星展(台灣)商業銀行,64
台新國際商業銀行,30710
大眾商業銀行,9778
日盛國際商業銀行,550
安泰商業銀行,1101
中國信託商業銀行,36311
台灣樂天信用卡股份有限公司,4212
台灣美國運通國際(股)公司,3062
台灣永旺信用卡(股)公司,189
