金融機構名稱,當月發卡數
臺灣銀行,916
臺灣土地銀行,11189
合作金庫商業銀行,5042
第一商業銀行,10397
華南商業銀行,16722
彰化商業銀行,4340
上海商業儲蓄銀行,955
台北富邦商業銀行,44480
國泰世華商業銀行,50306
高雄銀行,238
兆豐國際商業銀行,8411
花旗(台灣)商業銀行,15308
澳盛(台灣)商業銀行,4413
臺灣中小企業銀行,900
渣打國際商業銀行,3845
台中商業銀行,2581
匯豐(台灣)商業銀行,5379
華泰商業銀行,24
臺灣新光商業銀行,9651
陽信商業銀行,2331
三信商業銀行,232
聯邦商業銀行,18238
遠東國際商業銀行,10853
元大商業銀行,16592
永豐商業銀行,93488
玉山商業銀行,55502
凱基商業銀行,7194
星展(台灣)商業銀行,102
台新國際商業銀行,38896
大眾商業銀行,9407
日盛國際商業銀行,394
安泰商業銀行,907
中國信託商業銀行,57351
台灣樂天信用卡股份有限公司,11067
台灣美國運通國際(股)公司,3770
台灣永旺信用卡(股)公司,115
