金融機構名稱,當月發卡數
臺灣銀行,2060
臺灣土地銀行,3324
合作金庫商業銀行,13897
第一商業銀行,10289
華南商業銀行,43145
彰化商業銀行,2873
上海商業儲蓄銀行,2243
台北富邦商業銀行,26169
國泰世華商業銀行,82936
高雄銀行,148
兆豐國際商業銀行,8199
花旗(台灣)商業銀行,18180
澳盛(台灣)商業銀行,5114
臺灣中小企業銀行,821
渣打國際商業銀行,1740
台中商業銀行,3119
匯豐(台灣)商業銀行,6019
華泰商業銀行,9
臺灣新光商業銀行,7656
陽信商業銀行,1904
三信商業銀行,140
聯邦商業銀行,38820
遠東國際商業銀行,115106
元大商業銀行,14592
永豐商業銀行,20467
玉山商業銀行,52923
凱基商業銀行,11079
星展(台灣)商業銀行,31
台新國際商業銀行,82338
大眾商業銀行,8626
日盛國際商業銀行,429
安泰商業銀行,778
中國信託商業銀行,56109
台灣樂天信用卡(股)公司,14608
台灣美國運通國際(股)公司,3662
台灣永旺信用卡(股)公司,122
