金融機構名稱,當月發卡數
臺灣銀行,696
臺灣土地銀行,2959
合作金庫商業銀行,5140
第一商業銀行,9923
華南商業銀行,24052
彰化商業銀行,1848
上海商業儲蓄銀行,1508
台北富邦商業銀行,18217
國泰世華商業銀行,49273
高雄銀行,84
兆豐國際商業銀行,14550
花旗(台灣)商業銀行,20085
澳盛(台灣)商業銀行,4891
臺灣中小企業銀行,1333
渣打國際商業銀行,2579
台中商業銀行,1626
滙豐(台灣)商業銀行,7783
華泰商業銀行,18
臺灣新光商業銀行,6412
陽信商業銀行,1089
三信商業銀行,93
聯邦商業銀行,21878
遠東國際商業銀行,17164
元大商業銀行,8590
永豐商業銀行,13078
玉山商業銀行,44860
凱基商業銀行,5091
星展(台灣)商業銀行,9
台新國際商業銀行,44026
大眾商業銀行,5710
日盛國際商業銀行,407
安泰商業銀行,544
中國信託商業銀行,76890
台灣樂天信用卡股份有限公司,10602
台灣美國運通國際(股)公司,2214
台灣永旺信用卡(股)公司,129
