金融機構名稱,當月發卡數
臺灣銀行,526
臺灣土地銀行,3582
合作金庫商業銀行,6366
第一商業銀行,14170
華南商業銀行,21688
彰化商業銀行,5436
上海商業儲蓄銀行,1178
台北富邦商業銀行,77249
國泰世華商業銀行,73001
高雄銀行,139
兆豐國際商業銀行,13066
花旗(台灣)商業銀行,19161
澳盛(台灣)商業銀行,6657
臺灣中小企業銀行,925
渣打國際商業銀行,1464
台中商業銀行,3042
匯豐(台灣)商業銀行,8172
華泰商業銀行,15
臺灣新光商業銀行,13753
陽信商業銀行,3803
三信商業銀行,260
聯邦商業銀行,20355
遠東國際商業銀行,11405
元大商業銀行,19225
永豐商業銀行,31169
玉山商業銀行,83532
凱基商業銀行,4363
星展(台灣)商業銀行,128
台新國際商業銀行,31500
大眾商業銀行,10684
日盛國際商業銀行,518
安泰商業銀行,1217
中國信託商業銀行,52769
台灣樂天信用卡股份有限公司,13948
台灣美國運通國際(股)公司,4247
台灣永旺信用卡(股)公司,112
