金融機構名稱,當月發卡數
臺灣銀行,4125
臺灣土地銀行,4602
合作金庫商業銀行,5696
第一商業銀行,10220
華南商業銀行,21624
彰化商業銀行,3405
上海商業儲蓄銀行,2353
台北富邦商業銀行,23880
國泰世華商業銀行,58106
高雄銀行,31
兆豐國際商業銀行,4792
花旗(台灣)商業銀行,27956
澳盛(台灣)商業銀行,4752
臺灣中小企業銀行,642
渣打國際商業銀行,1268
台中商業銀行,1629
滙豐(台灣)商業銀行,6439
華泰商業銀行,121
臺灣新光商業銀行,11940
陽信商業銀行,1690
三信商業銀行,117
聯邦商業銀行,24276
遠東國際商業銀行,13106
元大商業銀行,12472
永豐商業銀行,11339
玉山商業銀行,41616
凱基商業銀行,16713
星展(台灣)商業銀行,16
台新國際商業銀行,45658
大眾商業銀行,7531
日盛國際商業銀行,489
安泰商業銀行,638
中國信託商業銀行,68460
台灣樂天信用卡股份有限公司,16212
台灣美國運通國際(股)公司,3218
台灣永旺信用卡(股)公司,119
