金融機構名稱,當月發卡數
臺灣銀行,439
臺灣土地銀行,2808
合作金庫商業銀行,5492
第一商業銀行,8832
華南商業銀行,13580
彰化商業銀行,2428
上海商業儲蓄銀行,1075
台北富邦商業銀行,20048
國泰世華商業銀行,65142
高雄銀行,29
兆豐國際商業銀行,8074
花旗(台灣)商業銀行,16462
澳盛(台灣)商業銀行,6802
臺灣中小企業銀行,758
渣打國際商業銀行,1227
台中商業銀行,2048
匯豐(台灣)商業銀行,7835
華泰商業銀行,18
臺灣新光商業銀行,6078
陽信商業銀行,1017
三信商業銀行,179
聯邦商業銀行,19752
遠東國際商業銀行,11978
元大商業銀行,12023
永豐商業銀行,19448
玉山商業銀行,40643
凱基商業銀行,3766
星展(台灣)商業銀行,85
台新國際商業銀行,30104
大眾商業銀行,9987
日盛國際商業銀行,388
安泰商業銀行,1001
中國信託商業銀行,33950
台灣樂天信用卡股份有限公司,8122
台灣美國運通國際(股)公司,2796
台灣永旺信用卡(股)公司,147
