金融機構名稱,當月發卡數
臺灣銀行,1434
臺灣土地銀行,7015
合作金庫商業銀行,6240
第一商業銀行,13525
華南商業銀行,17250
彰化商業銀行,5717
上海商業儲蓄銀行,1194
台北富邦商業銀行,24034
國泰世華商業銀行,60545
高雄銀行,37
兆豐國際商業銀行,7917
花旗(台灣)商業銀行,18019
澳盛(台灣)商業銀行,5924
臺灣中小企業銀行,1030
渣打國際商業銀行,1633
台中商業銀行,6066
匯豐(台灣)商業銀行,6238
華泰商業銀行,15
臺灣新光商業銀行,7970
陽信商業銀行,924
三信商業銀行,122
聯邦商業銀行,24478
遠東國際商業銀行,16700
元大商業銀行,13025
永豐商業銀行,20316
玉山商業銀行,46188
凱基商業銀行,4585
星展(台灣)商業銀行,103
台新國際商業銀行,33148
大眾商業銀行,9621
日盛國際商業銀行,436
安泰商業銀行,1194
中國信託商業銀行,45828
台灣樂天信用卡(股)公司,10382
台灣美國運通國際(股)公司,3297
台灣永旺信用卡(股)公司,114
