金融機構名稱,當月發卡數
臺灣銀行,685
臺灣土地銀行,6208
合作金庫商業銀行,5044
第一商業銀行,13476
華南商業銀行,16423
彰化商業銀行,3960
上海商業儲蓄銀行,1031
台北富邦商業銀行,36420
國泰世華商業銀行,64429
高雄銀行,200
兆豐國際商業銀行,9216
花旗(台灣)商業銀行,15949
澳盛(台灣)商業銀行,5029
臺灣中小企業銀行,773
渣打國際商業銀行,1511
台中商業銀行,2039
匯豐(台灣)商業銀行,5610
華泰商業銀行,17
臺灣新光商業銀行,9760
陽信商業銀行,5293
三信商業銀行,265
聯邦商業銀行,19967
遠東國際商業銀行,11003
元大商業銀行,16721
永豐商業銀行,90927
玉山商業銀行,75392
凱基商業銀行,14061
星展(台灣)商業銀行,91
台新國際商業銀行,30750
大眾商業銀行,9389
日盛國際商業銀行,420
安泰商業銀行,936
中國信託商業銀行,64539
台灣樂天信用卡股份有限公司,12173
台灣美國運通國際(股)公司,3685
台灣永旺信用卡(股)公司,100
