金融機構名稱,當月發卡數
臺灣銀行,889
臺灣土地銀行,3136
合作金庫商業銀行,6224
第一商業銀行,9654
華南商業銀行,21587
彰化商業銀行,1813
上海商業儲蓄銀行,1360
台北富邦商業銀行,20382
國泰世華商業銀行,64965
高雄銀行,77
兆豐國際商業銀行,14755
花旗(台灣)商業銀行,24689
澳盛(台灣)商業銀行,3258
臺灣中小企業銀行,1639
渣打國際商業銀行,10431
台中商業銀行,1919
滙豐(台灣)商業銀行,8134
華泰商業銀行,34
臺灣新光商業銀行,5480
陽信商業銀行,1181
三信商業銀行,96
聯邦商業銀行,27229
遠東國際商業銀行,21367
元大商業銀行,9797
永豐商業銀行,13645
玉山商業銀行,45515
凱基商業銀行,5562
星展(台灣)商業銀行,12
台新國際商業銀行,53388
大眾商業銀行,5804
日盛國際商業銀行,391
安泰商業銀行,681
中國信託商業銀行,88697
台灣樂天信用卡股份有限公司,12707
台灣美國運通國際(股)公司,2966
台灣永旺信用卡(股)公司,113
