金融機構名稱,當月發卡數
臺灣銀行,1403
臺灣土地銀行,3130
合作金庫商業銀行,4428
第一商業銀行,9874
華南商業銀行,11612
彰化商業銀行,2596
上海商業儲蓄銀行,1428
台北富邦商業銀行,105020
國泰世華商業銀行,167547
高雄銀行,119
兆豐國際商業銀行,6858
花旗(台灣)商業銀行,20560
澳盛(台灣)商業銀行,3845
臺灣中小企業銀行,646
渣打國際商業銀行,998
台中商業銀行,1794
匯豐(台灣)商業銀行,5832
華泰商業銀行,7
臺灣新光商業銀行,7411
陽信商業銀行,1395
三信商業銀行,108
聯邦商業銀行,43706
遠東國際商業銀行,39453
元大商業銀行,11305
永豐商業銀行,14308
玉山商業銀行,38711
凱基商業銀行,7647
星展(台灣)商業銀行,41
台新國際商業銀行,29640
大眾商業銀行,7595
日盛國際商業銀行,368
安泰商業銀行,756
中國信託商業銀行,56544
台灣樂天信用卡(股)公司,10113
台灣美國運通國際(股)公司,3632
台灣永旺信用卡(股)公司,79
