金融機構名稱,當月發卡數
臺灣銀行,817
臺灣土地銀行,823
合作金庫商業銀行,3970
第一商業銀行,13837
華南商業銀行,15873
彰化商業銀行,7725
上海商業儲蓄銀行,1343
台北富邦商業銀行,17335
國泰世華商業銀行,66839
高雄銀行,41
兆豐國際商業銀行,8788
花旗(台灣)商業銀行,18841
澳盛(台灣)商業銀行,5536
臺灣中小企業銀行,1511
渣打國際商業銀行,3784
台中商業銀行,1857
匯豐(台灣)商業銀行,8949
華泰商業銀行,9
臺灣新光商業銀行,11287
陽信商業銀行,1136
三信商業銀行,187
聯邦商業銀行,19103
遠東國際商業銀行,12795
元大商業銀行,12732
永豐商業銀行,20291
玉山商業銀行,39389
凱基商業銀行,5005
星展(台灣)商業銀行,145
台新國際商業銀行,32867
大眾商業銀行,10637
日盛國際商業銀行,545
安泰商業銀行,1123
中國信託商業銀行,44190
台灣樂天信用卡股份有限公司,4447
台灣美國運通國際(股)公司,2936
台灣永旺信用卡(股)公司,485
