金融機構名稱,當月發卡數
臺灣銀行,1043
臺灣土地銀行,5377
合作金庫商業銀行,6046
第一商業銀行,10800
華南商業銀行,22740
彰化商業銀行,2983
上海商業儲蓄銀行,1499
台北富邦商業銀行,26032
國泰世華商業銀行,54231
高雄銀行,121
兆豐國際商業銀行,11814
花旗(台灣)商業銀行,21035
澳盛(台灣)商業銀行,5207
臺灣中小企業銀行,1956
渣打國際商業銀行,2277
台中商業銀行,1711
滙豐(台灣)商業銀行,7579
華泰商業銀行,60
臺灣新光商業銀行,7062
陽信商業銀行,1188
三信商業銀行,130
聯邦商業銀行,22223
遠東國際商業銀行,14018
元大商業銀行,11401
永豐商業銀行,13334
玉山商業銀行,46871
凱基商業銀行,5696
星展(台灣)商業銀行,34
台新國際商業銀行,46137
大眾商業銀行,6662
日盛國際商業銀行,450
安泰商業銀行,750
中國信託商業銀行,70627
台灣樂天信用卡股份有限公司,13383
台灣美國運通國際(股)公司,3198
台灣永旺信用卡(股)公司,72
