金融機構名稱,當月發卡數
臺灣銀行,3424
臺灣土地銀行,4457
合作金庫商業銀行,5673
第一商業銀行,9571
華南商業銀行,20300
彰化商業銀行,3805
上海商業儲蓄銀行,2451
台北富邦商業銀行,26468
國泰世華商業銀行,68467
高雄銀行,46
兆豐國際商業銀行,6236
花旗(台灣)商業銀行,26572
澳盛(台灣)商業銀行,5804
臺灣中小企業銀行,4048
渣打國際商業銀行,1386
台中商業銀行,1670
滙豐(台灣)商業銀行,7645
華泰商業銀行,76
臺灣新光商業銀行,11113
陽信商業銀行,1720
三信商業銀行,119
聯邦商業銀行,25485
遠東國際商業銀行,13531
元大商業銀行,13136
永豐商業銀行,24078
玉山商業銀行,60807
凱基商業銀行,10301
星展(台灣)商業銀行,62
台新國際商業銀行,65692
大眾商業銀行,6837
日盛國際商業銀行,520
安泰商業銀行,620
中國信託商業銀行,90891
台灣樂天信用卡股份有限公司,15418
台灣美國運通國際(股)公司,2915
台灣永旺信用卡(股)公司,169
