金融機構名稱,當月發卡數
臺灣銀行,751
臺灣土地銀行,13583
合作金庫商業銀行,4313
第一商業銀行,14749
華南商業銀行,15378
彰化商業銀行,6064
上海商業儲蓄銀行,1084
台北富邦商業銀行,22924
國泰世華商業銀行,58358
高雄銀行,71
兆豐國際商業銀行,7583
花旗(台灣)商業銀行,18020
澳盛(台灣)商業銀行,5211
臺灣中小企業銀行,966
渣打國際商業銀行,1681
台中商業銀行,9035
匯豐(台灣)商業銀行,6529
華泰商業銀行,23
臺灣新光商業銀行,9170
陽信商業銀行,975
三信商業銀行,111
聯邦商業銀行,25477
遠東國際商業銀行,11511
元大商業銀行,12200
永豐商業銀行,17392
玉山商業銀行,41687
凱基商業銀行,5187
星展(台灣)商業銀行,299
台新國際商業銀行,29707
大眾商業銀行,9578
日盛國際商業銀行,535
安泰商業銀行,1242
中國信託商業銀行,43498
台灣樂天信用卡(股)公司,9431
台灣美國運通國際(股)公司,3093
台灣永旺信用卡(股)公司,108
