金融機構名稱,當月發卡數
臺灣銀行,502
臺灣土地銀行,654
合作金庫商業銀行,2606
第一商業銀行,15215
華南商業銀行,12108
彰化商業銀行,4243
上海商業儲蓄銀行,1303
台北富邦商業銀行,32688
國泰世華商業銀行,67494
高雄銀行,75
兆豐國際商業銀行,6661
花旗(台灣)商業銀行,19561
澳盛(台灣)商業銀行,5517
臺灣中小企業銀行,1164
渣打國際商業銀行,10552
台中商業銀行,1548
匯豐(台灣)商業銀行,9153
華泰商業銀行,32
臺灣新光商業銀行,7713
陽信商業銀行,995
三信商業銀行,494
聯邦商業銀行,22905
遠東國際商業銀行,14502
元大商業銀行,8171
永豐商業銀行,19290
玉山商業銀行,48512
凱基商業銀行,5168
星展(台灣)商業銀行,120
台新國際商業銀行,46223
大眾商業銀行,9195
日盛國際商業銀行,406
安泰商業銀行,1025
中國信託商業銀行,96600
台灣樂天信用卡股份有限公司,747
台灣美國運通國際(股)公司,3028
台灣大來國際信用卡(股)公司,5
台灣永旺信用卡(股)公司,2924
