金融機構名稱,當月發卡數
臺灣銀行,1436
臺灣土地銀行,6246
合作金庫商業銀行,12717
第一商業銀行,10673
華南商業銀行,17101
彰化商業銀行,5634
上海商業儲蓄銀行,1202
台北富邦商業銀行,18247
國泰世華商業銀行,65724
高雄銀行,36
兆豐國際商業銀行,8029
花旗(台灣)商業銀行,17412
澳盛(台灣)商業銀行,6130
臺灣中小企業銀行,3774
渣打國際商業銀行,1538
台中商業銀行,4759
匯豐(台灣)商業銀行,7205
華泰商業銀行,9
臺灣新光商業銀行,5392
陽信商業銀行,803
三信商業銀行,99
聯邦商業銀行,19324
遠東國際商業銀行,14704
元大商業銀行,11595
永豐商業銀行,17847
玉山商業銀行,42964
凱基商業銀行,6375
星展(台灣)商業銀行,94
台新國際商業銀行,31850
大眾商業銀行,9844
日盛國際商業銀行,422
安泰商業銀行,1345
中國信託商業銀行,35896
台灣樂天信用卡(股)公司,9118
台灣美國運通國際(股)公司,3590
台灣永旺信用卡(股)公司,260
