金融機構名稱,當月發卡數
臺灣銀行,4625
臺灣土地銀行,3520
合作金庫商業銀行,14319
第一商業銀行,8179
華南商業銀行,16276
彰化商業銀行,1289
上海商業儲蓄銀行,1800
台北富邦商業銀行,37716
國泰世華商業銀行,71832
高雄銀行,170
兆豐國際商業銀行,5874
花旗(台灣)商業銀行,16906
澳盛(台灣)商業銀行,4660
臺灣中小企業銀行,646
渣打國際商業銀行,1522
台中商業銀行,2902
匯豐(台灣)商業銀行,5131
華泰商業銀行,13
臺灣新光商業銀行,6748
陽信商業銀行,905
三信商業銀行,113
聯邦商業銀行,32811
遠東國際商業銀行,12466
元大商業銀行,13178
永豐商業銀行,13282
玉山商業銀行,49072
凱基商業銀行,10199
星展(台灣)商業銀行,15
台新國際商業銀行,76417
大眾商業銀行,8243
日盛國際商業銀行,452
安泰商業銀行,749
中國信託商業銀行,57723
台灣樂天信用卡股份有限公司,12794
台灣美國運通國際(股)公司,3729
台灣永旺信用卡(股)公司,109
