金融機構名稱,當月發卡數
臺灣銀行,6068
臺灣土地銀行,1783
合作金庫商業銀行,4434
第一商業銀行,8231
華南商業銀行,14301
彰化商業銀行,3435
上海商業儲蓄銀行,2704
台北富邦商業銀行,21345
國泰世華商業銀行,57194
高雄銀行,55
兆豐國際商業銀行,4973
花旗(台灣)商業銀行,17358
澳盛(台灣)商業銀行,4350
臺灣中小企業銀行,502
渣打國際商業銀行,920
台中商業銀行,1605
匯豐(台灣)商業銀行,6688
華泰商業銀行,21
臺灣新光商業銀行,10698
陽信商業銀行,1707
三信商業銀行,203
聯邦商業銀行,22404
遠東國際商業銀行,14084
元大商業銀行,12136
永豐商業銀行,11939
玉山商業銀行,44934
凱基商業銀行,7134
星展(台灣)商業銀行,17
台新國際商業銀行,46351
大眾商業銀行,6802
日盛國際商業銀行,388
安泰商業銀行,523
中國信託商業銀行,69826
台灣樂天信用卡股份有限公司,12471
台灣美國運通國際(股)公司,2755
台灣永旺信用卡(股)公司,61
