金融機構名稱,當月發卡數
臺灣銀行,908
臺灣土地銀行,3977
合作金庫商業銀行,5726
第一商業銀行,13270
華南商業銀行,22079
彰化商業銀行,2800
上海商業儲蓄銀行,1772
台北富邦商業銀行,21441
國泰世華商業銀行,52664
高雄銀行,113
兆豐國際商業銀行,14006
花旗(台灣)商業銀行,23722
澳盛(台灣)商業銀行,5710
臺灣中小企業銀行,2140
渣打國際商業銀行,3223
台中商業銀行,2166
滙豐(台灣)商業銀行,9790
華泰商業銀行,27
臺灣新光商業銀行,7443
陽信商業銀行,1167
三信商業銀行,113
聯邦商業銀行,21550
遠東國際商業銀行,14420
元大商業銀行,12310
永豐商業銀行,15421
玉山商業銀行,48812
凱基商業銀行,4529
星展(台灣)商業銀行,15
台新國際商業銀行,44876
大眾商業銀行,6617
日盛國際商業銀行,472
安泰商業銀行,816
中國信託商業銀行,75986
台灣樂天信用卡股份有限公司,13246
台灣美國運通國際(股)公司,2423
台灣永旺信用卡(股)公司,195
